AU 79  196.967 706
 10.0000  -9999.0  2.42357
 10.0800  -9999.0  2.45021
 10.1626  -9999.0  2.47279
 10.2466  -9999.0  2.49321
 10.3320  -9999.0  2.52183
 10.4188  -9999.0  2.54573
 10.5071  -9999.0  2.57551
 10.5969  -9999.0  2.59766
 10.6882  -9999.0  2.623
 10.7812  -9999.0  2.66025
 10.8757  -9999.0  2.6926
 10.972  -9999.0  2.72569
 11.07  -9999.0  2.75051
 11.1697  -9999.0  2.77884
 11.2712  -9999.0  2.80776
 11.3746  -9999.0  2.83727
 11.4799  -9999.0  2.86417
 11.5872  -9999.0  2.89487
 11.6966  -9999.0  2.92288
 11.808  -9999.0  2.96169
 11.9215  -9999.0  3.00147
 12.0372  -9999.0  3.03513
 12.1552  -9999.0  3.07679
 12.2756  -9999.0  3.11582
 12.3983  -9999.0  3.15579
 12.5236  -9999.0  3.20062
 12.6514  -9999.0  3.24661
 12.7818  -9999.0  3.30186
 12.915  -9999.0  3.35463
 13.0509  -9999.0  3.40889
 13.1897  -9999.0  3.46899
 13.3316  -9999.0  3.5309
 13.4765  -9999.0  3.5947
 13.6246  -9999.0  3.65134
 13.7759  -9999.0  3.71895
 13.9307  -9999.0  3.77917
 14.089  -9999.0  3.84604
 14.251  -9999.0  3.91003
 14.4167  -9999.0  3.98108
 14.5863  -9999.0  4.04917
 14.7599  -9999.0  4.11941
 14.9378  -9999.0  4.19187
 15.1199  -9999.0  4.26105
 15.3066  -9999.0  4.32663
 15.4979  -9999.0  4.39419
 15.6941  -9999.0  4.46985
 15.8953  -9999.0  4.52936
 16.1017  -9999.0  4.5841
 16.3136  -9999.0  4.65977
 16.5311  -9999.0  4.72447
 16.7545  -9999.0  4.80477
 16.984  -9999.0  4.88772
 17.2199  -9999.0  4.98802
 17.4625  -9999.0  5.09208
 17.7119  -9999.0  5.2232
 17.9686  -9999.0  5.39155
 18.2329  -9999.0  5.60843
 18.505  -9999.0  5.83596
 18.7854  -9999.0  6.06615
 19.0744  -9999.0  6.34358
 19.3724  -9999.0  6.72768
 19.6799  -9999.0  7.13317
 19.9973  -9999.0  7.56153
 20.3208  -9999.0  7.97873
 20.6495  -9999.0  8.41895
 20.9834  -9999.0  8.88345
 21.3228  -9999.0  9.37359
 21.6677  -9999.0  9.6941
 22.0182  -9999.0  9.89242
 22.3743  -9999.0  10.0948
 22.7362  -9999.0  10.1107
 23.1039  -9999.0  9.98361
 23.4776  -9999.0  9.84802
 23.8573  -9999.0  9.62491
 24.2432  -9999.0  9.40686
 24.6353  -9999.0  9.1434
 25.0338  -9999.0  8.85791
 25.4387  -9999.0  8.80754
 25.8501  -9999.0  8.83951
 26.2682  -9999.0  8.87159
 26.6931  -9999.0  8.9266
 27.1248  -9999.0  9.2167
 27.5636  -9999.0  9.51624
 28.0094  -9999.0  9.84618
 28.4624  -9999.0  10.3686
 28.9228  -9999.0  10.9186
 29.3906  2.80453  11.4926
 29.8659  3.17209  12.0568
 30.349  3.77287  12.4227
 30.8399  4.27837  12.6656
 31.3387  4.82841  12.9132
 31.8456  5.54243  12.8346
 32.3606  5.87121  12.581
 32.884  6.08198  12.5114
 33.4159  6.32549  12.4719
 33.9564  6.56301  12.4326
 34.5056  6.78224  12.3934
 35.0637  6.98448  12.3534
 35.6308  7.1681  12.3133
 36.2071  7.32969  12.2732
 36.7928  7.44923  12.2333
 37.3879  7.56922  12.2604
 37.9926  7.69736  12.3041
 38.6071  7.83973  12.3479
 39.2315  7.98382  12.392
 39.866  8.12765  12.4361
 40.5108  8.27286  12.5027
 41.1661  8.43105  12.5779
 41.8319  8.6029  12.6535
 42.5085  8.78461  12.7296
 43.196  8.99277  12.8061
 43.8947  9.22547  12.8831
 44.6047  9.4703  12.9092
 45.3261  9.70579  12.8761
 46.0592  9.90002  12.8432
 46.8042  10.0759  12.8103
 47.5612  10.2371  12.7666
 48.3305  10.3669  12.7155
 49.1122  10.4612  12.6646
 49.9065  10.4911  12.6139
 50.7137  10.4937  12.6944
 51.534  10.5152  12.8304
 52.3675  10.6083  12.9678
 53.2145  10.7081  13.1067
 54.0752  10.8079  13.2471
 54.9498  10.8783  13.4719
 55.8386  11.0389  13.7491
 56.7418  11.2608  14.032
 57.6595  11.5376  14.3207
 58.5921  11.9423  14.6154
 59.5398  12.401  14.8206
 60.5028  12.8496  14.954
 61.4814  13.3645  15.0886
 62.4758  13.927  15.2243
 63.4863  14.5646  15.1067
 64.5131  15.1118  14.8748
 65.5566  15.5683  14.6187
 66.6169  15.9403  14.3026
 67.6944  16.2255  13.9934
 68.7893  16.4416  13.6909
 69.9019  16.5471  13.3949
 71.0325  16.6355  13.2833
 72.1814  16.7806  13.1807
 73.3489  16.9315  13.0789
 74.5352  17.0879  13.0141
 75.7408  17.2846  12.9799
 76.9658  17.5311  12.9458
 78.2107  17.8314  12.828
 79.4757  18.0679  12.6516
 80.7611  18.2641  12.4775
 82.0674  18.3103  12.3059
 83.3947  18.3008  12.5122
 84.4844  18.9133  12.953
 85.8509  19.5637  12.587
 87.2394  20.0617  12.2168
 88.6505  20.4357  11.7339
 90.0843  20.704  11.2701
 91.5414  20.9224  10.8246
 93.022  21.0704  10.3137
 94.5265  21.0991  9.82436
 96.0554  21.0349  9.4296
 97.609  20.9829  9.10735
 99.1878  20.9856  8.79609
 100.792  20.9775  8.49547
 102.422  20.9534  8.16666
 104.079  20.8974  7.83522
 105.762  20.8049  7.51724
 107.473  20.6731  7.21216
 109.211  20.5053  6.97471
 110.978  20.3663  6.76866
 112.773  20.2312  6.56871
 114.597  20.0948  6.37465
 116.45  19.9483  6.18633
 118.334  19.7979  6.01686
 120.248  19.6489  5.85783
 122.192  19.4996  5.703
 124.169  19.3479  5.55227
 126.177  19.1996  5.40552
 128.218  19.0606  5.24076
 130.292  18.8926  5.0235
 132.399  18.6442  4.81524
 134.541  18.3342  4.65523
 136.717  18.0138  4.59484
 138.928  17.7348  4.53523
 141.175  17.4516  4.47639
 143.458  17.1516  4.41832
 145.779  16.8125  4.41244
 148.137  16.5025  4.4549
 150.533  16.2086  4.49777
 152.967  15.9195  4.54105
 155.441  15.584  4.58475
 157.956  15.2275  4.64453
 160.51  14.8771  4.79755
 163.107  14.5507  4.95562
 165.745  14.2265  5.11889
 168.425  13.881  5.28753
 171.15  13.5076  5.50654
 173.918  13.1561  5.81347
 176.731  12.8307  6.13751
 179.589  12.5409  6.47961
 182.494  12.2643  6.84079
 185.446  12.0048  7.22473
 188.445  11.7606  7.63208
 191.493  11.5355  8.0624
 194.59  11.3323  8.51697
 197.738  11.1556  8.99718
 200.936  11.0174  9.49691
 204.186  10.905  9.99765
 207.488  10.8104  10.5248
 210.844  10.7755  11.0798
 214.255  10.7835  11.6561
 217.72  10.8392  12.1158
 221.241  10.8665  12.5937
 224.82  10.897  13.0903
 228.456  10.942  13.6066
 232.151  11.052  14.1432
 235.906  11.1874  14.6383
 239.722  11.3103  15.1205
 243.599  11.4342  15.6187
 247.539  11.5822  16.1333
 251.543  11.7833  16.6648
 255.611  11.9915  17.135
 259.745  12.2034  17.6104
 263.947  12.4216  18.0989
 268.216  12.6827  18.601
 272.554  12.9827  19.117
 276.962  13.3236  19.5633
 281.442  13.6572  19.9466
 285.994  13.9592  20.3374
 290.62  14.2574  20.7358
 295.32  14.5594  21.1421
 300.097  14.8722  21.5563
 304.951  15.2033  21.9786
 309.883  15.5677  22.4092
 314.895  15.9533  22.7884
 319.988  16.341  23.157
 325.164  16.7109  23.5316
 330.423  17.0928  23.9122
 335.767  17.4898  24.2989
 341.198  17.912  24.6919
 346.717  18.3841  25.0913
 352.325  18.8883  25.4934
 358.023  19.4299  25.7447
 363.814  19.9195  25.9984
 369.698  20.3928  26.2547
 375.678  20.8623  26.5135
 381.754  21.3345  26.7748
 387.929  21.8146  27.0387
 394.203  22.3046  27.3052
 400.579  22.8731  27.5744
 407.058  23.4568  27.759
 413.642  23.9925  27.9019
 420.332  24.4957  28.0454
 427.131  24.9921  28.1897
 434.039  25.4842  28.3347
 441.06  25.9866  28.4805
 448.193  26.4959  28.627
 455.443  27.0173  28.7422
 462.809  27.5245  28.8271
 470.295  28.0127  28.9122
 477.901  28.4927  28.9975
 485.631  28.9679  29.0831
 493.486  29.4407  29.1689
 501.467  29.9135  29.255
 509.578  30.3896  29.3414
 517.82  30.8679  29.4179
 526.196  31.345  29.4914
 534.706  31.8181  29.565
 543.355  32.2934  29.6388
 552.143  32.772  29.7128
 561.074  33.258  29.787
 570.148  33.7579  29.8572
 579.37  34.2603  29.9098
 588.741  34.7558  29.9624
 598.263  35.2555  30.0151
 607.94  35.7621  30.0679
 617.773  36.2787  30.1208
 627.765  36.8097  30.1738
 637.918  37.3636  30.2269
 648.236  37.9693  30.2801
 658.721  38.5956  30.2413
 669.375  39.2069  30.1231
 680.202  39.7605  30.0053
 691.203  40.2827  29.888
 702.383  40.7916  29.7712
 713.744  41.2894  29.6548
 725.288  41.7755  29.5388
 737.019  42.2569  29.4357
 748.94  42.7413  29.3333
 761.053  43.231  29.2313
 773.363  43.7263  29.1296
 785.871  44.2345  29.0283
 798.582  44.766  28.927
 811.498  45.3015  28.7521
 824.624  45.8244  28.5782
 837.961  46.3241  28.4055
 851.515  46.8314  28.2337
 865.287  47.3573  28.063
 879.283  47.9211  27.8879
 893.504  48.4693  27.5751
 907.956  48.9892  27.2658
 922.641  49.4553  26.96
 937.564  49.9126  26.6576
 952.729  50.3692  26.3586
 968.138  50.8412  26.0205
 983.797  51.2684  25.6646
 999.709  51.6763  25.3137
 1015.88  52.0824  24.9676
 1032.31  52.5523  24.6262
 1049.01  53.0057  24.1725
 1065.97  53.3737  23.6657
 1083.21  53.6758  23.1695
 1100.73  53.9376  22.6837
 1118.54  54.1661  22.2081
 1136.63  54.3659  21.7425
 1155.01  54.5394  21.2862
 1173.7  54.6876  20.8393
 1192.68  54.8083  20.4018
 1211.97  54.9012  19.9735
 1231.57  54.9452  19.5716
 1251.49  55.001  19.2373
 1271.73  55.0744  18.9088
 1292.3  55.1542  18.5858
 1313.2  55.2534  18.2684
 1334.44  55.3503  17.8975
 1356.03  55.4186  17.5235
 1377.96  55.4434  17.1573
 1400.25  55.4509  16.7988
 1422.9  55.4304  16.4477
 1445.91  55.3923  16.1606
 1460  55.3927  15.9948
 1483.61  55.4252  15.7206
 1507.61  55.5477  15.3391
 1531.99  55.4832  14.8501
 1556.77  55.328  14.4348
 1569.65  55.2197  14.2264
 1595.04  55.0224  13.9403
 1620.84  54.8606  13.6537
 1644.49  54.7161  13.3951
 1671.09  54.524  13.0404
 1698.12  54.2385  12.7386
 1725.58  53.961  12.4973
 1753.49  53.6692  12.2062
 1765.07  53.5141  12.0869
 1793.62  53.1447  11.9481
 1822.63  52.89  11.7352
 1852.11  52.4935  11.4654
 1882.06  52.0502  11.2923
 1910.6  51.6659  11.147
 1941.5  51.2565  10.8525
 1972.9  50.6391  10.5759
 2004.81  49.9354  10.3718
 2037.24  49.1457  10.1656
 2040  49.0741  10.1467
 2050  48.8118  10.0734
 2060  48.5136  9.99988
 2070  48.2142  9.92662
 2080  47.8789  9.85521
 2090  47.5399  9.78116
 2100  47.1578  9.70603
 2110  46.7638  9.63185
 2120  46.3209  9.55828
 2130  45.8589  9.4851
 2140  45.3347  9.40883
 2150  44.7669  9.33334
 2160  44.1305  9.27955
 2170  43.4332  9.20417
 2180  42.6153  9.13237
 2185  42.1579  9.09387
 2190  41.6462  9.0541
 2195  41.078  9.02122
 2200  40.4204  8.98676
 2205  39.6202  8.98507
 2210  38.7304  9.13812
 2215  37.715  9.38026
 2220  36.6921  9.85594
 2225  35.6061  10.4937
 2230  34.2591  11.1227
 2235  33.0536  12.9855
 2240  32.5161  14.7769
 2245  32.7913  17.0623
 2250  33.6453  18.3125
 2255  34.6485  19.3367
 2260  35.2123  19.3867
 2265  35.5623  20.0891
 2270  36.1366  20.658
 2275  36.4533  20.4893
 2280  36.5726  21.1916
 2285  37.2124  21.634
 2290  37.6465  21.4403
 2295  37.6558  21.1536
 2300  37.2657  21.1858
 2305  36.9617  21.4784
 2310  36.5778  21.8761
 2315  35.9795  22.0744
 2320  35.2904  23.3464
 2325  35.0279  24.5113
 2330  35.3701  26.5
 2335  36.4235  27.5154
