 i         r         g        b
   0    0.00000    0.00000    0.00000
   1    0.01176    0.00000    0.00000
   2    0.02353    0.00000    0.00000
   3    0.03529    0.00000    0.00000
   4    0.04706    0.00000    0.00000
   5    0.05882    0.00000    0.00000
   6    0.07059    0.00000    0.00000
   7    0.08235    0.00000    0.00000
   8    0.09412    0.00000    0.00000
   9    0.10588    0.00000    0.00000
  10    0.11765    0.00000    0.00000
  11    0.12941    0.00000    0.00000
  12    0.14118    0.00000    0.00000
  13    0.15294    0.00000    0.00000
  14    0.16471    0.00000    0.00000
  15    0.17647    0.00000    0.00000
  16    0.18824    0.00000    0.00000
  17    0.20000    0.00000    0.00000
  18    0.21176    0.00000    0.00000
  19    0.22353    0.00000    0.00000
  20    0.23529    0.00000    0.00000
  21    0.24706    0.00000    0.00000
  22    0.25882    0.00000    0.00000
  23    0.27059    0.00000    0.00000
  24    0.28235    0.00000    0.00000
  25    0.29412    0.00000    0.00000
  26    0.30588    0.00000    0.00000
  27    0.31765    0.00000    0.00000
  28    0.32941    0.00000    0.00000
  29    0.34118    0.00000    0.00000
  30    0.35294    0.00000    0.00000
  31    0.36471    0.00000    0.00000
  32    0.37647    0.00000    0.00000
  33    0.38824    0.00000    0.00000
  34    0.40000    0.00000    0.00000
  35    0.41176    0.00000    0.00000
  36    0.42353    0.00000    0.00000
  37    0.43529    0.00000    0.00000
  38    0.44706    0.00000    0.00000
  39    0.45882    0.00000    0.00000
  40    0.47059    0.00000    0.00000
  41    0.48235    0.00000    0.00000
  42    0.49412    0.00000    0.00000
  43    0.50588    0.00000    0.00000
  44    0.51765    0.00000    0.00000
  45    0.52941    0.00000    0.00000
  46    0.54118    0.00000    0.00000
  47    0.55294    0.00000    0.00000
  48    0.56471    0.00000    0.00000
  49    0.57647    0.00000    0.00000
  50    0.58824    0.00000    0.00000
  51    0.60000    0.00000    0.00000
  52    0.61176    0.00000    0.00000
  53    0.62353    0.00000    0.00000
  54    0.63529    0.00000    0.00000
  55    0.64706    0.00000    0.00000
  56    0.65882    0.00000    0.00000
  57    0.67059    0.00000    0.00000
  58    0.68235    0.00000    0.00000
  59    0.69412    0.00000    0.00000
  60    0.70588    0.00000    0.00000
  61    0.71765    0.00000    0.00000
  62    0.72941    0.00000    0.00000
  63    0.74118    0.00000    0.00000
  64    0.75294    0.00000    0.00000
  65    0.76471    0.00000    0.00000
  66    0.77647    0.00000    0.00000
  67    0.78824    0.00000    0.00000
  68    0.80000    0.00000    0.00000
  69    0.81176    0.00000    0.00000
  70    0.82353    0.00000    0.00000
  71    0.83529    0.00000    0.00000
  72    0.84706    0.00000    0.00000
  73    0.85882    0.00000    0.00000
  74    0.87059    0.00000    0.00000
  75    0.88235    0.00000    0.00000
  76    0.89412    0.00000    0.00000
  77    0.90588    0.00000    0.00000
  78    0.91765    0.00000    0.00000
  79    0.92941    0.00000    0.00000
  80    0.94118    0.00000    0.00000
  81    0.95294    0.00000    0.00000
