# im ir ii xm ym wm hm lm rm
1 0 0 0.287414 0.030711 56.100000 43.538490 100.486475 289.050000
2 0 0 0.117110 0.264263 56.100000 43.538490 100.486475 289.050000
3 0 0 -0.170304 0.233552 56.100000 43.538490 100.486475 289.050000
4 0 0 -0.287414 -0.030711 56.100000 43.538490 100.486475 289.050000
5 0 0 -0.117110 -0.264263 56.100000 43.538490 100.486475 289.050000
6 0 0 0.170304 -0.233552 56.100000 43.538490 100.486475 289.050000
7 0 1 0.275964 0.085986 56.100000 43.538490 100.486475 289.050000
8 0 1 0.063516 0.281985 56.100000 43.538490 100.486475 289.050000
9 0 1 -0.212448 0.195999 56.100000 43.538490 100.486475 289.050000
10 0 1 -0.275964 -0.085986 56.100000 43.538490 100.486475 289.050000
11 0 1 -0.063516 -0.281985 56.100000 43.538490 100.486475 289.050000
12 0 1 0.212448 -0.195999 56.100000 43.538490 100.486475 289.050000
13 0 2 0.253990 0.137982 56.100000 43.538490 100.486475 289.050000
14 0 2 0.007499 0.288953 56.100000 43.538490 100.486475 289.050000
15 0 2 -0.246491 0.150971 56.100000 43.538490 100.486475 289.050000
16 0 2 -0.253990 -0.137982 56.100000 43.538490 100.486475 289.050000
17 0 2 -0.007499 -0.288953 56.100000 43.538490 100.486475 289.050000
18 0 2 0.246491 -0.150971 56.100000 43.538490 100.486475 289.050000
19 0 3 0.222329 0.184715 56.100000 43.538490 100.486475 289.050000
20 0 3 -0.048804 0.284900 56.100000 43.538490 100.486475 289.050000
21 0 3 -0.271133 0.100185 56.100000 43.538490 100.486475 289.050000
22 0 3 -0.222329 -0.184715 56.100000 43.538490 100.486475 289.050000
23 0 3 0.048804 -0.284900 56.100000 43.538490 100.486475 289.050000
24 0 3 0.271133 -0.100185 56.100000 43.538490 100.486475 289.050000
25 0 4 0.182189 0.224404 56.100000 43.538490 100.486475 289.050000
26 0 4 -0.103245 0.269982 56.100000 43.538490 100.486475 289.050000
27 0 4 -0.285434 0.045578 56.100000 43.538490 100.486475 289.050000
28 0 4 -0.182189 -0.224404 56.100000 43.538490 100.486475 289.050000
29 0 4 0.103245 -0.269982 56.100000 43.538490 100.486475 289.050000
30 0 4 0.285434 -0.045578 56.100000 43.538490 100.486475 289.050000
31 1 0 0.349740 0.031435 56.100000 44.953903 82.723301 351.150000
32 1 0 0.147647 0.318601 56.100000 44.953903 82.723301 351.150000
33 1 0 -0.202093 0.287166 56.100000 44.953903 82.723301 351.150000
34 1 0 -0.349740 -0.031435 56.100000 44.953903 82.723301 351.150000
35 1 0 -0.147647 -0.318601 56.100000 44.953903 82.723301 351.150000
36 1 0 0.202093 -0.287166 56.100000 44.953903 82.723301 351.150000
37 1 1 0.339823 0.088467 56.100000 44.953903 82.723301 351.150000
38 1 1 0.093297 0.338529 56.100000 44.953903 82.723301 351.150000
39 1 1 -0.246527 0.250062 56.100000 44.953903 82.723301 351.150000
40 1 1 -0.339823 -0.088467 56.100000 44.953903 82.723301 351.150000
41 1 1 -0.093297 -0.338529 56.100000 44.953903 82.723301 351.150000
42 1 1 0.246527 -0.250062 56.100000 44.953903 82.723301 351.150000
43 1 2 0.320671 0.143095 56.100000 44.953903 82.723301 351.150000
44 1 2 0.036411 0.349257 56.100000 44.953903 82.723301 351.150000
45 1 2 -0.284260 0.206162 56.100000 44.953903 82.723301 351.150000
46 1 2 -0.320671 -0.143095 56.100000 44.953903 82.723301 351.150000
47 1 2 -0.036411 -0.349257 56.100000 44.953903 82.723301 351.150000
48 1 2 0.284260 -0.206162 56.100000 44.953903 82.723301 351.150000
49 1 3 0.292804 0.193835 56.100000 44.953903 82.723301 351.150000
50 1 3 -0.021464 0.350493 56.100000 44.953903 82.723301 351.150000
51 1 3 -0.314268 0.156659 56.100000 44.953903 82.723301 351.150000
52 1 3 -0.292804 -0.193835 56.100000 44.953903 82.723301 351.150000
53 1 3 0.021464 -0.350493 56.100000 44.953903 82.723301 351.150000
54 1 3 0.314268 -0.156659 56.100000 44.953903 82.723301 351.150000
55 1 4 0.256980 0.239306 56.100000 44.953903 82.723301 351.150000
56 1 4 -0.078755 0.342205 56.100000 44.953903 82.723301 351.150000
57 1 4 -0.335735 0.102898 56.100000 44.953903 82.723301 351.150000
58 1 4 -0.256980 -0.239306 56.100000 44.953903 82.723301 351.150000
59 1 4 0.078755 -0.342205 56.100000 44.953903 82.723301 351.150000
60 1 4 0.335735 -0.102898 56.100000 44.953903 82.723301 351.150000
61 1 5 0.214172 0.278274 56.100000 44.953903 82.723301 351.150000
